NCBI_GID	ENSEMBL_GID	Assignation	NCBI_gene_Overlap
106608166	ENSSSAG00000073684	automatic	NA
100306734	ENSSSAG00000073686	automatic	NA
106608228	ENSSSAG00000073694	automatic	NA
106608351	ENSSSAG00000073720	automatic	NA
106608506	ENSSSAG00000090572	automatic	NA
106608717	ENSSSAG00000073729	automatic	NA
106608646	ENSSSAG00000073732	automatic	NA
106608828	ENSSSAG00000085698	automatic	NA
106608927	ENSSSAG00000073913	automatic	NA
106610138	ENSSSAG00000078331	automatic	NA
106610341	ENSSSAG00000005514	automatic	NA
106610396	ENSSSAG00000078353	automatic	NA
106610468	ENSSSAG00000078358	automatic	NA
106610559	ENSSSAG00000078367	automatic	NA
106610665	ENSSSAG00000078395	automatic	NA
100380543	ENSSSAG00000078509	automatic	NA
106611027	ENSSSAG00000078627	automatic	NA
106610881	ENSSSAG00000078528	automatic	NA
106610936	ENSSSAG00000078632	automatic	NA
106611066	ENSSSAG00000078685	automatic	NA
106611292	ENSSSAG00000078693	automatic	NA
106611189	ENSSSAG00000078738	automatic	NA
106611338	ENSSSAG00000000276	automatic	NA
106611704	ENSSSAG00000091445	automatic	NA
106611855	ENSSSAG00000000460	automatic	NA
106612204	ENSSSAG00000000511	automatic	NA
106560560	ENSSSAG00000000545	automatic	NA
106560243	ENSSSAG00000089663	automatic	NA
106613427	ENSSSAG00000112704	automatic	NA
106613993	ENSSSAG00000000581	automatic	NA
106613317	ENSSSAG00000000593	automatic	NA
106613138	ENSSSAG00000098997	automatic	NA
100306780	ENSSSAG00000000657	automatic	NA
106612959	ENSSSAG00000000701	automatic	NA
106612640	ENSSSAG00000103858	automatic	NA
106612547	ENSSSAG00000005797	automatic	NA
106612499	ENSSSAG00000008499	automatic	NA
106560907	ENSSSAG00000008511	automatic	NA
106560842	ENSSSAG00000113510	automatic	NA
106560797	ENSSSAG00000008530	automatic	NA
123723731	ENSSSAG00000114874	automatic	NA
100196480	ENSSSAG00000008543	automatic	NA
106609693	ENSSSAG00000120708	automatic	NA
106561796	ENSSSAG00000107579	automatic	NA
106562016	ENSSSAG00000101521	automatic	NA
106562166	ENSSSAG00000008582	automatic	NA
106562352	ENSSSAG00000008598	automatic	NA
106562615	ENSSSAG00000100813	automatic	NA
106562880	ENSSSAG00000113451	automatic	NA
106562977	ENSSSAG00000008676	automatic	NA
106563035	ENSSSAG00000008822	automatic	NA
106563115	ENSSSAG00000008979	automatic	NA
106563167	ENSSSAG00000009047	automatic	NA
100196474	ENSSSAG00000009184	automatic	NA
106563209	ENSSSAG00000009205	automatic	NA
100195585	ENSSSAG00000009217	automatic	NA
106563434	ENSSSAG00000009232	automatic	NA
106563489	ENSSSAG00000093886	automatic	NA
106563602	ENSSSAG00000009327	automatic	NA
106564129	ENSSSAG00000085565	automatic	NA
106563926	ENSSSAG00000085565	automatic	NA
106564610	ENSSSAG00000102689	automatic	NA
106564706	ENSSSAG00000091836	automatic	NA
100379104	ENSSSAG00000009525	automatic	NA
100380710	ENSSSAG00000009614	automatic	NA
100286517	ENSSSAG00000015644	automatic	NA
106564860	ENSSSAG00000015684	automatic	NA
106565054	ENSSSAG00000015918	automatic	NA
106565548	ENSSSAG00000115270	automatic	NA
106565365	ENSSSAG00000019460	automatic	NA
106565612	ENSSSAG00000047979	automatic	NA
106566099	ENSSSAG00000048046	automatic	NA
106566164	ENSSSAG00000048071	automatic	NA
106566340	ENSSSAG00000048356	automatic	NA
106566507	ENSSSAG00000055885	automatic	NA
106566627	ENSSSAG00000056052	automatic	NA
106566892	ENSSSAG00000057740	automatic	NA
100196586	ENSSSAG00000063098	automatic	NA
106567073	ENSSSAG00000034849	automatic	NA
106567189	ENSSSAG00000039768	automatic	NA
106567335	ENSSSAG00000039783	automatic	NA
106567684	ENSSSAG00000039798	automatic	NA
106567792	ENSSSAG00000040186	automatic	NA
106568224	ENSSSAG00000054074	automatic	NA
106568712	ENSSSAG00000090710	automatic	NA
106568770	ENSSSAG00000054124	automatic	NA
106568883	ENSSSAG00000103211	automatic	NA
106569018	ENSSSAG00000113358	automatic	NA
106569848	ENSSSAG00000054498	automatic	NA
106569909	ENSSSAG00000054523	automatic	NA
106570006	ENSSSAG00000054720	automatic	NA
106570052	ENSSSAG00000055167	automatic	NA
106570236	ENSSSAG00000055500	automatic	NA
106570958	ENSSSAG00000118635	automatic	NA
106570601	ENSSSAG00000055804	automatic	NA
106571300	ENSSSAG00000055918	automatic	NA
106571381	ENSSSAG00000056166	automatic	NA
106571436	ENSSSAG00000056357	automatic	NA
106571704	ENSSSAG00000056399	automatic	NA
100286480	ENSSSAG00000056403	automatic	NA
106571863	ENSSSAG00000056489	automatic	NA
106571921	ENSSSAG00000061686	automatic	NA
106572116	ENSSSAG00000061751	automatic	NA
106571989	ENSSSAG00000061763	automatic	NA
106572210	ENSSSAG00000062942	automatic	NA
106572330	ENSSSAG00000068510	automatic	NA
106572824	ENSSSAG00000122190	automatic	NA
106570820	ENSSSAG00000117279	automatic	NA
106572928	ENSSSAG00000070283	automatic	NA
106573328	ENSSSAG00000071296	automatic	NA
106573499	ENSSSAG00000071306	automatic	NA
106573624	ENSSSAG00000071310	automatic	NA
106573685	ENSSSAG00000071321	automatic	NA
106573748	ENSSSAG00000071348	automatic	NA
106573945	ENSSSAG00000104014	automatic	NA
106574021	ENSSSAG00000071421	automatic	NA
106574183	ENSSSAG00000071424	automatic	NA
106574378	ENSSSAG00000121632	automatic	NA
106574446	ENSSSAG00000071503	automatic	NA
106574561	ENSSSAG00000100822	automatic	NA
106574998	ENSSSAG00000015506	automatic	NA
106574720	ENSSSAG00000072638	automatic	NA
106575065	ENSSSAG00000072642	automatic	NA
106575475	ENSSSAG00000099671	automatic	NA
106575182	ENSSSAG00000072655	automatic	NA
100194758	ENSSSAG00000072670	automatic	NA
106576015	ENSSSAG00000120534	automatic	NA
106575860	ENSSSAG00000072714	automatic	NA
106576115	ENSSSAG00000073018	automatic	NA
106577542	ENSSSAG00000000114	automatic	NA
100195732	ENSSSAG00000000142	automatic	NA
106577595	ENSSSAG00000000151	automatic	NA
106577869	ENSSSAG00000000813	automatic	NA
106578112	ENSSSAG00000085113	automatic	NA
106578183	ENSSSAG00000001865	automatic	NA
106578260	ENSSSAG00000085500	automatic	NA
106578367	ENSSSAG00000001907	automatic	NA
106578429	ENSSSAG00000001930	automatic	NA
106577278	ENSSSAG00000001941	automatic	NA
106578531	ENSSSAG00000002003	automatic	NA
106578678	ENSSSAG00000089587	automatic	NA
101448007	ENSSSAG00000002904	automatic	NA
106578585	ENSSSAG00000002976	automatic	NA
106579076	ENSSSAG00000121492	automatic	NA
106578739	ENSSSAG00000003298	automatic	NA
106579056	ENSSSAG00000116342	automatic	NA
106579139	ENSSSAG00000003347	automatic	NA
100196795	ENSSSAG00000003414	automatic	NA
106579491	ENSSSAG00000003444	automatic	NA
100195311	ENSSSAG00000110580	automatic	NA
106579881	ENSSSAG00000003545	automatic	NA
100136438	ENSSSAG00000003564	automatic	NA
106579821	ENSSSAG00000003601	automatic	NA
106579967	ENSSSAG00000003723	automatic	NA
106580283	ENSSSAG00000003748	automatic	NA
106580335	ENSSSAG00000100093	automatic	NA
106580683	ENSSSAG00000003815	automatic	NA
106580630	ENSSSAG00000003879	automatic	NA
106580785	ENSSSAG00000064674	automatic	NA
106583609	ENSSSAG00000116517	automatic	NA
106583660	ENSSSAG00000086751	automatic	NA
106580844	ENSSSAG00000004104	automatic	NA
106583710	ENSSSAG00000004076	automatic	NA
106581094	ENSSSAG00000004186	automatic	NA
106581236	ENSSSAG00000005091	automatic	NA
100195456	ENSSSAG00000005096	automatic	NA
106581578	ENSSSAG00000002448	automatic	NA
106581668	ENSSSAG00000005135	automatic	NA
106581504	ENSSSAG00000005331	automatic	NA
106581812	ENSSSAG00000007092	automatic	NA
106583758	ENSSSAG00000106191	automatic	NA
106581963	ENSSSAG00000007106	automatic	NA
106582020	ENSSSAG00000007122	automatic	NA
100286552	ENSSSAG00000007135	automatic	NA
106582172	ENSSSAG00000007145	automatic	NA
106582340	ENSSSAG00000100306	automatic	NA
106582390	ENSSSAG00000117033	automatic	NA
106583826	ENSSSAG00000007182	automatic	NA
106582486	ENSSSAG00000087337	automatic	NA
106582637	ENSSSAG00000120525	automatic	NA
106582697	ENSSSAG00000014992	automatic	NA
100194621	ENSSSAG00000015427	automatic	NA
106582786	ENSSSAG00000043349	automatic	NA
106582929	ENSSSAG00000043419	automatic	NA
106583053	ENSSSAG00000106511	automatic	NA
106583235	ENSSSAG00000043462	automatic	NA
106583171	ENSSSAG00000043462	automatic	NA
106583292	ENSSSAG00000108030	automatic	NA
106586563	ENSSSAG00000043505	automatic	NA
106586505	ENSSSAG00000043592	automatic	NA
100194557	ENSSSAG00000079015	automatic	NA
106586717	ENSSSAG00000044192	automatic	NA
106586810	ENSSSAG00000005202	automatic	NA
106586878	ENSSSAG00000044422	automatic	NA
106587081	ENSSSAG00000044611	automatic	NA
106587421	ENSSSAG00000049694	automatic	NA
106587488	ENSSSAG00000120493	automatic	NA
100195074	ENSSSAG00000049726	automatic	NA
106587655	ENSSSAG00000049900	automatic	NA
106587737	ENSSSAG00000056648	automatic	NA
106588052	ENSSSAG00000043940	automatic	NA
106588404	ENSSSAG00000099780	automatic	NA
106588489	ENSSSAG00000000188	automatic	NA
106588600	ENSSSAG00000089264	automatic	NA
106588971	ENSSSAG00000001124	automatic	NA
106588908	ENSSSAG00000001146	automatic	NA
106589077	ENSSSAG00000001347	automatic	NA
106599786	ENSSSAG00000001477	automatic	NA
106589171	ENSSSAG00000001539	automatic	NA
106589256	ENSSSAG00000001837	automatic	NA
106589343	ENSSSAG00000001838	automatic	NA
106589484	ENSSSAG00000001840	automatic	NA
106589425	ENSSSAG00000001857	automatic	NA
106589621	ENSSSAG00000001932	automatic	NA
106589732	ENSSSAG00000001958	automatic	NA
106589786	ENSSSAG00000001968	automatic	NA
106589845	ENSSSAG00000001984	automatic	NA
106590001	ENSSSAG00000001995	automatic	NA
106590063	ENSSSAG00000002013	automatic	NA
106590872	ENSSSAG00000002255	automatic	NA
106590795	ENSSSAG00000114191	automatic	NA
106591002	ENSSSAG00000002380	automatic	NA
106591116	ENSSSAG00000093159	automatic	NA
100286734	ENSSSAG00000002471	automatic	NA
106591288	ENSSSAG00000002479	automatic	NA
106591465	ENSSSAG00000002486	automatic	NA
106591503	ENSSSAG00000002539	automatic	NA
106591546	ENSSSAG00000002314	automatic	NA
106591625	ENSSSAG00000002756	automatic	NA
106591720	ENSSSAG00000002995	automatic	NA
100195561	ENSSSAG00000003002	automatic	NA
106592280	ENSSSAG00000089042	automatic	NA
106591759	ENSSSAG00000003159	automatic	NA
106593072	ENSSSAG00000004511	automatic	NA
106592678	ENSSSAG00000004793	automatic	NA
106592803	ENSSSAG00000004914	automatic	NA
106592979	ENSSSAG00000004925	automatic	NA
100380379	ENSSSAG00000005070	automatic	NA
106593351	ENSSSAG00000005117	automatic	NA
106593433	ENSSSAG00000005336	automatic	NA
106593515	ENSSSAG00000107410	automatic	NA
106593636	ENSSSAG00000005373	automatic	NA
106593771	ENSSSAG00000005424	automatic	NA
106593878	ENSSSAG00000095681	automatic	NA
106593970	ENSSSAG00000005723	automatic	NA
106594164	ENSSSAG00000118723	automatic	NA
106594233	ENSSSAG00000005769	automatic	NA
100196217	ENSSSAG00000005833	automatic	NA
106594671	ENSSSAG00000115378	automatic	NA
106594751	ENSSSAG00000005851	automatic	NA
106595288	ENSSSAG00000006492	automatic	NA
106595507	ENSSSAG00000006672	automatic	NA
106595751	ENSSSAG00000102113	automatic	NA
106595902	ENSSSAG00000006694	automatic	NA
106596176	ENSSSAG00000006782	automatic	NA
106596382	ENSSSAG00000009432	automatic	NA
106596263	ENSSSAG00000009145	automatic	NA
100286694	ENSSSAG00000009678	automatic	NA
106596550	ENSSSAG00000009690	automatic	NA
106596761	ENSSSAG00000100892	automatic	NA
106596924	ENSSSAG00000087385	automatic	NA
106586068	ENSSSAG00000009746	automatic	NA
106596965	ENSSSAG00000010383	automatic	NA
106597037	ENSSSAG00000088643	automatic	NA
106597151	ENSSSAG00000010578	automatic	NA
106597351	ENSSSAG00000015350	automatic	NA
106597416	ENSSSAG00000014877	automatic	NA
106597482	ENSSSAG00000043280	automatic	NA
106597610	ENSSSAG00000043377	automatic	NA
106598081	ENSSSAG00000043436	automatic	NA
100195680	ENSSSAG00000043775	automatic	NA
106598466	ENSSSAG00000043966	automatic	NA
106598610	ENSSSAG00000110598	automatic	NA
106598511	ENSSSAG00000045335	automatic	NA
106598670	ENSSSAG00000000238	automatic	NA
106598722	ENSSSAG00000000387	automatic	NA
106598791	ENSSSAG00000097477	automatic	NA
106598867	ENSSSAG00000000408	automatic	NA
106598809	ENSSSAG00000000414	automatic	NA
106598828	ENSSSAG00000000442	automatic	NA
106598906	ENSSSAG00000000602	automatic	NA
106598919	ENSSSAG00000000976	automatic	NA
106598946	ENSSSAG00000001552	automatic	NA
106598965	ENSSSAG00000001557	automatic	NA
106599021	ENSSSAG00000105087	automatic	NA
106599033	ENSSSAG00000001667	automatic	NA
106599078	ENSSSAG00000106684	automatic	NA
106599102	ENSSSAG00000100502	automatic	NA
100846972	ENSSSAG00000002641	automatic	NA
106599208	ENSSSAG00000121425	automatic	NA
106599217	ENSSSAG00000003295	automatic	NA
106599230	ENSSSAG00000058274	automatic	NA
100380464	ENSSSAG00000003364	automatic	NA
100380758	ENSSSAG00000003451	automatic	NA
106599441	ENSSSAG00000003466	automatic	NA
106599317	ENSSSAG00000003552	automatic	NA
106599481	ENSSSAG00000004307	automatic	NA
100195225	ENSSSAG00000004364	automatic	NA
106599536	ENSSSAG00000004378	automatic	NA
106599566	ENSSSAG00000004392	automatic	NA
106599634	ENSSSAG00000103441	automatic	NA
106599624	ENSSSAG00000004570	automatic	NA
100380602	ENSSSAG00000005519	automatic	NA
106599679	ENSSSAG00000113076	automatic	NA
106599718	ENSSSAG00000005830	automatic	NA
100196755	ENSSSAG00000006881	automatic	NA
106599729	ENSSSAG00000006892	automatic	NA
100380701	ENSSSAG00000006982	automatic	NA
106600466	ENSSSAG00000003895	automatic	NA
106600486	ENSSSAG00000100266	automatic	NA
106600494	ENSSSAG00000007643	automatic	NA
106600509	ENSSSAG00000007758	automatic	NA
106600505	ENSSSAG00000103013	automatic	NA
106600514	ENSSSAG00000007916	automatic	NA
100195502	ENSSSAG00000015443	automatic	NA
106600519	ENSSSAG00000015487	automatic	NA
106600528	ENSSSAG00000110250	automatic	NA
106600539	ENSSSAG00000015602	automatic	NA
106600549	ENSSSAG00000015639	automatic	NA
106600563	ENSSSAG00000015812	automatic	NA
100196542	ENSSSAG00000040142	automatic	NA
106600595	ENSSSAG00000040444	automatic	NA
106600602	ENSSSAG00000040538	automatic	NA
100196345	ENSSSAG00000040584	automatic	NA
106600638	ENSSSAG00000040987	automatic	NA
106600658	ENSSSAG00000051698	automatic	NA
106600691	ENSSSAG00000051717	automatic	NA
106600707	ENSSSAG00000051724	automatic	NA
106600716	ENSSSAG00000051730	automatic	NA
106600726	ENSSSAG00000108520	automatic	NA
106600357	ENSSSAG00000106705	automatic	NA
106600731	ENSSSAG00000051763	automatic	NA
106601632	ENSSSAG00000099542	automatic	NA
100194815	ENSSSAG00000051847	automatic	NA
106601609	ENSSSAG00000051888	automatic	NA
106601584	ENSSSAG00000000215	automatic	NA
106601569	ENSSSAG00000000550	automatic	NA
106601560	ENSSSAG00000117463	automatic	NA
106601553	ENSSSAG00000000598	automatic	NA
106601543	ENSSSAG00000000890	automatic	NA
106601537	ENSSSAG00000001577	automatic	NA
106601517	ENSSSAG00000088245	automatic	NA
106601461	ENSSSAG00000001608	automatic	NA
106601440	ENSSSAG00000001687	automatic	NA
106601433	ENSSSAG00000001690	automatic	NA
106601406	ENSSSAG00000001786	automatic	NA
106601399	ENSSSAG00000002049	automatic	NA
106601673	ENSSSAG00000092556	automatic	NA
106601376	ENSSSAG00000120150	automatic	NA
106600848	ENSSSAG00000002097	automatic	NA
106601367	ENSSSAG00000002110	automatic	NA
106600843	ENSSSAG00000002126	automatic	NA
100196046	ENSSSAG00000002115	automatic	NA
106601348	ENSSSAG00000002203	automatic	NA
106601343	ENSSSAG00000002769	automatic	NA
106601320	ENSSSAG00000004406	automatic	NA
106601308	ENSSSAG00000004430	automatic	NA
106601300	ENSSSAG00000004732	automatic	NA
106601284	ENSSSAG00000005387	automatic	NA
106601249	ENSSSAG00000005423	automatic	NA
106601253	ENSSSAG00000081753	automatic	NA
106601272	ENSSSAG00000116888	automatic	NA
106601235	ENSSSAG00000006332	automatic	NA
106601189	ENSSSAG00000009786	automatic	NA
106601221	ENSSSAG00000117096	automatic	NA
106601178	ENSSSAG00000063988	automatic	NA
106601154	ENSSSAG00000063995	automatic	NA
106601171	ENSSSAG00000119733	automatic	NA
106601170	ENSSSAG00000089895	automatic	NA
106601134	ENSSSAG00000064093	automatic	NA
106601119	ENSSSAG00000064105	automatic	NA
106601115	ENSSSAG00000097864	automatic	NA
106601106	ENSSSAG00000064144	automatic	NA
106601096	ENSSSAG00000064146	automatic	NA
106601075	ENSSSAG00000099373	automatic	NA
106601027	ENSSSAG00000065785	automatic	NA
106601641	ENSSSAG00000103454	automatic	NA
106601017	ENSSSAG00000065859	automatic	NA
106601004	ENSSSAG00000065866	automatic	NA
106600983	ENSSSAG00000065872	automatic	NA
106600996	ENSSSAG00000083291	automatic	NA
106600946	ENSSSAG00000108761	automatic	NA
106600929	ENSSSAG00000065930	automatic	NA
106600923	ENSSSAG00000116615	automatic	NA
106600894	ENSSSAG00000066101	automatic	NA
106601796	ENSSSAG00000071501	automatic	NA
100380743	ENSSSAG00000071642	automatic	NA
106602743	ENSSSAG00000071695	automatic	NA
106601862	ENSSSAG00000071720	automatic	NA
106601852	ENSSSAG00000071739	automatic	NA
100195921	ENSSSAG00000094718	automatic	NA
106601818	ENSSSAG00000072645	automatic	NA
106601865	ENSSSAG00000072849	automatic	NA
100286471	ENSSSAG00000076941	automatic	NA
106601900	ENSSSAG00000076831	automatic	NA
106601912	ENSSSAG00000076945	automatic	NA
106601921	ENSSSAG00000076953	automatic	NA
106601938	ENSSSAG00000076969	automatic	NA
106601984	ENSSSAG00000076988	automatic	NA
106601994	ENSSSAG00000076989	automatic	NA
106602024	ENSSSAG00000077003	automatic	NA
106602033	ENSSSAG00000119678	automatic	NA
106602003	ENSSSAG00000077671	automatic	NA
106602043	ENSSSAG00000077694	automatic	NA
106602077	ENSSSAG00000077707	automatic	NA
123742703	ENSSSAG00000114142	automatic	NA
106602103	ENSSSAG00000118561	automatic	NA
106602112	ENSSSAG00000034160	automatic	NA
106602146	ENSSSAG00000034734	automatic	NA
106602205	ENSSSAG00000034990	automatic	NA
106602179	ENSSSAG00000036764	automatic	NA
106602170	ENSSSAG00000039831	automatic	NA
106602221	ENSSSAG00000039982	automatic	NA
106602243	ENSSSAG00000040068	automatic	NA
106602232	ENSSSAG00000108152	automatic	NA
106602264	ENSSSAG00000040134	automatic	NA
100196304	ENSSSAG00000040551	automatic	NA
106602312	ENSSSAG00000044143	automatic	NA
100196261	ENSSSAG00000044488	automatic	NA
100380355	ENSSSAG00000044526	automatic	NA
106602325	ENSSSAG00000093051	automatic	NA
106602337	ENSSSAG00000044977	automatic	NA
106601761	ENSSSAG00000045088	automatic	NA
106602366	ENSSSAG00000045132	automatic	NA
106602385	ENSSSAG00000045547	automatic	NA
100195231	ENSSSAG00000046330	automatic	NA
106602393	ENSSSAG00000118246	automatic	NA
106602411	ENSSSAG00000046590	automatic	NA
106602420	ENSSSAG00000046898	automatic	NA
106602440	ENSSSAG00000066013	automatic	NA
106602450	ENSSSAG00000066058	automatic	NA
106602463	ENSSSAG00000066081	automatic	NA
106602473	ENSSSAG00000066205	automatic	NA
106602505	ENSSSAG00000066213	automatic	NA
106602525	ENSSSAG00000066239	automatic	NA
106602535	ENSSSAG00000066262	automatic	NA
106601783	ENSSSAG00000066504	automatic	NA
106602554	ENSSSAG00000069930	automatic	NA
106602575	ENSSSAG00000070012	automatic	NA
123726744	ENSSSAG00000020173	automatic	NA
106602592	ENSSSAG00000070026	automatic	NA
106602600	ENSSSAG00000093164	automatic	NA
106602627	ENSSSAG00000070390	automatic	NA
106602615	ENSSSAG00000076492	automatic	NA
106602646	ENSSSAG00000076520	automatic	NA
106602651	ENSSSAG00000076554	automatic	NA
106602665	ENSSSAG00000076556	automatic	NA
100195778	ENSSSAG00000076564	automatic	NA
106602679	ENSSSAG00000076601	automatic	NA
100195556	ENSSSAG00000076605	automatic	NA
106602687	ENSSSAG00000091691	automatic	NA
106602695	ENSSSAG00000076651	automatic	NA
106602701	ENSSSAG00000085684	automatic	NA
106602708	ENSSSAG00000109874	automatic	NA
106602716	ENSSSAG00000076963	automatic	NA
106603803	ENSSSAG00000077374	automatic	NA
106603791	ENSSSAG00000077394	automatic	NA
106603878	ENSSSAG00000077395	automatic	NA
106603787	ENSSSAG00000120893	automatic	NA
100380536	ENSSSAG00000077406	automatic	NA
106603776	ENSSSAG00000077473	automatic	NA
106603767	ENSSSAG00000078035	automatic	NA
106603664	ENSSSAG00000117898	automatic	NA
106603656	ENSSSAG00000042714	automatic	NA
106603645	ENSSSAG00000043824	automatic	NA
106603641	ENSSSAG00000103255	automatic	NA
106603637	ENSSSAG00000044138	automatic	NA
100196682	ENSSSAG00000045091	automatic	NA
106603601	ENSSSAG00000045145	automatic	NA
106603564	ENSSSAG00000045210	automatic	NA
106603871	ENSSSAG00000045425	automatic	NA
106602875	ENSSSAG00000045797	automatic	NA
100286572	ENSSSAG00000045855	automatic	NA
106603498	ENSSSAG00000050920	automatic	NA
106603863	ENSSSAG00000119559	automatic	NA
100380381	ENSSSAG00000050924	automatic	NA
106603478	ENSSSAG00000050932	automatic	NA
106603468	ENSSSAG00000050948	automatic	NA
106603443	ENSSSAG00000051056	automatic	NA
106603854	ENSSSAG00000102831	automatic	NA
106603413	ENSSSAG00000053423	automatic	NA
106603412	ENSSSAG00000054880	automatic	NA
106603398	ENSSSAG00000086851	automatic	NA
100194722	ENSSSAG00000107990	automatic	NA
106603366	ENSSSAG00000088209	automatic	NA
106603291	ENSSSAG00000056753	automatic	NA
106603280	ENSSSAG00000056843	automatic	NA
106603272	ENSSSAG00000056855	automatic	NA
106603269	ENSSSAG00000056880	automatic	NA
106603250	ENSSSAG00000056944	automatic	NA
106603844	ENSSSAG00000057142	automatic	NA
106603236	ENSSSAG00000057154	automatic	NA
106603225	ENSSSAG00000057190	automatic	NA
100306860	ENSSSAG00000057327	automatic	NA
106603213	ENSSSAG00000057335	automatic	NA
106603201	ENSSSAG00000108128	automatic	NA
100195493	ENSSSAG00000057365	automatic	NA
106603195	ENSSSAG00000059153	automatic	NA
106603178	ENSSSAG00000059153	automatic	NA
106603155	ENSSSAG00000059165	automatic	NA
106603151	ENSSSAG00000059323	automatic	NA
106603142	ENSSSAG00000061530	automatic	NA
106603130	ENSSSAG00000061759	automatic	NA
106603124	ENSSSAG00000086716	automatic	NA
106603101	ENSSSAG00000094520	automatic	NA
106603089	ENSSSAG00000064510	automatic	NA
106603085	ENSSSAG00000064521	automatic	NA
106603022	ENSSSAG00000064816	automatic	NA
