NCBI_GID	ENSEMBL_GID	Assigned_Gene_symbol	Gene_symbol	Product
100136384	ENSSSAG00000071319	ahr2d	ahr2d	aryl hydrocarbon receptor 2 delta
100136385	NA	LOC100136385	LOC100136385	hyperosmotic glycine rich protein
100136387	NA	LOC100136387	LOC100136387	cardiac hormone
100136388	ENSSSAG00000010828	LOC100136388	LOC100136388	nitric oxide synthase, brain
100136389	ENSSSAG00000055444	ran	ran	RAN, member RAS oncogene family
100136390	ENSSSAG00000088702	LOC100136390	LOC100136390	sodium/potassium-transporting ATPase subunit alpha-1
100136391	ENSSSAG00000008620	LOC100136391	LOC100136391	sodium/potassium-transporting ATPase subunit beta-233
100136392	ENSSSAG00000001987	LOC100136392	LOC100136392	V-type proton ATPase subunit B, brain isoform
100136393	ENSSSAG00000007991	LOC100136393	LOC100136393	peroxisome proliferator activated receptor gamma
100136395	ENSSSAG00000040630	pdlim3a	pdlim3a	PDZ and LIM domain 3a
100136396	ENSSSAG00000065419	LOC100136396	LOC100136396	uncharacterized LOC100136396
100136397	ENSSSAG00000049265	mstnb	mstnb	myostatin b
100136398	ENSSSAG00000081479	st2	st2	ST2L protein-like
100136400	ENSSSAG00000006012	spp2	spp2	secreted phosphoprotein 2
100136401	ENSSSAG00000043510	il-1racp	il-1racp	interleukin 1 receptor accessory protein
100136402	ENSSSAG00000068962	glud1	glud1	glutamate dehydrogenase 1
100136405	ENSSSAG00000055102	myod2	myod2	myoblast determination protein 2
100136406	ENSSSAG00000040374	lhcgr	lhcgr	luteinizing hormone/choriogonadotropin receptor
100136408	ENSSSAG00000006389	LOC100136408	LOC100136408	cysteine and tyrosine-rich protein 1
100136409	ENSSSAG00000062981	LOC100136409	LOC100136409	acyl-CoA-binding protein
100136412	ENSSSAG00000073438	vdr0	vdr0	vitamin D receptor
100136413	ENSSSAG00000105299	ifng	ifng	interferon gamma
100136415	ENSSSAG00000009160	LOC100136415	LOC100136415	peroxisome proliferator-activated receptor alpha
100136416	ENSSSAG00000070128	LOC100136416	LOC100136416	carnitine O-palmitoyltransferase 1, liver isoform
100136417	ENSSSAG00000042521	LOC100136417	LOC100136417	glyceraldehyde-3-phosphate dehydrogenase
100136418	ENSSSAG00000040457	LOC100136418	LOC100136418	GDP-L-fucose synthase
100136420	ENSSSAG00000053544	LOC100136420	LOC100136420	lysozyme g
100136421	ENSSSAG00000119808	LOC100136421	LOC100136421	opioid growth factor receptor-like protein 1
100136422	ENSSSAG00000010615	mcl-1	mcl-1	myeloid leukemia differentiation protein homologue
100136423	ENSSSAG00000046137	or40a1	or40a1	odorant receptor, family 40, subfamily A, member 1
100136424	NA	LOC100136424	LOC100136424	ring-box 1
100136426	ENSSSAG00000054140	LOC100136426	LOC100136426	vitellogenin
100136428	ENSSSAG00000070468	LOC100136428	LOC100136428	androgen receptor
100136429	ENSSSAG00000003279	vldlr	vldlr	very low density lipoprotein receptor
100136430	ENSSSAG00000081432	LOC100136430	LOC100136430	60 kDa heat shock protein, mitochondrial
100136431	ENSSSAG00000045517	ahr2g	ahr2g	aryl hydrocarbon receptor 2 gamma
100136432	ENSSSAG00000106012	prnpb	prnpb	prion protein b
100136433	ENSSSAG00000007146	elvol5a	elvol5a	polyunsaturated fatty acid elongase
100136434	ENSSSAG00000079889	LOC100136434	LOC100136434	matrix Gla protein
100136435	ENSSSAG00000070636	LOC100136435	LOC100136435	serum lectin isoform 1 precursor
100136436	ENSSSAG00000086201	ifna2	ifna2	interferon alpha 2
100136437	ENSSSAG00000006455	casr	casr	calcium-sensing receptor
100136438	ENSSSAG00000003564	rhd	rhd	Rh blood group, D antigen
100136439	ENSSSAG00000049319	LOC100136439	LOC100136439	cathelicidin antimicrobial peptide
100136440	NA	glha2	glha2	pituitary alpha-2 glycoprotein hormone subunit precursor
100136441	ENSSSAG00000062830	fadsd6	fadsd6	delta-6 fatty acyl desaturase
100136442	ENSSSAG00000070335	ghrb	ghrb	growth hormone receptor b
100136443	ENSSSAG00000064457	esr2a	esr2a	estrogen receptor 2a
100136444	NA	fabp3	fabp3	fatty acid binding protein 3, muscle and heart
100136445	ENSSSAG00000080757	LOC100136445	LOC100136445	solute carrier family 2, facilitated glucose transporter member 4
100136446	ENSSSAG00000076658	LOC100136446	LOC100136446	C type lectin receptor A
100136447	ENSSSAG00000040735	LOC100136447	LOC100136447	C type lectin receptor B
100136448	ENSSSAG00000070511	LOC100136448	LOC100136448	C type lectin receptor C
100136449	ENSSSAG00000047946	LOC100136449	LOC100136449	interleukin-1 beta
100136450	ENSSSAG00000065860	cd8a	cd8a	CD8a molecule
100136451	ENSSSAG00000045680	LOC100136451	LOC100136451	CD8 beta
100136452	ENSSSAG00000061537	amh	amh	anti-Mullerian hormone
100136453	ENSSSAG00000074950	LOC100136453	LOC100136453	cathelicidin
100136454	ENSSSAG00000010103	LOC100136454	LOC100136454	superoxide dismutase 1, soluble
100136455	ENSSSAG00000004776	LOC100136455	LOC100136455	zonadhesin-like
100136456	ENSSSAG00000040725	LOC100136456	LOC100136456	prostaglandin G/H synthase 2
100136457	ENSSSAG00000065312	tnf-alpha-1	tnf-alpha-1	tumor necrosis factor alpha-1 precursor
100136458	ENSSSAG00000053783	tnf-alpha-2	tnf-alpha-2	tumor necrosis factor alpha-2 precursor
100136459	NA	LOC100136459	LOC100136459	caspase 8-like protein
100136461	ENSSSAG00000007452	esr1	esr1	estrogen receptor 1
100136462	ENSSSAG00000100080	LOC100136462	LOC100136462	prolactin-releasing peptide receptor
100136463	ENSSSAG00000081526	LOC100136463	LOC100136463	growth hormone receptor isoform 2 precursor
100136464	ENSSSAG00000063116	uox	uox	urate oxidase
100136465	ENSSSAG00000083677	pkz	pkz	protein kinase containing Z-DNA binding domains
100136466	ENSSSAG00000057619	LOC100136466	LOC100136466	follistatin
100136467	ENSSSAG00000066730	zic1	zic1	zic family member 1 (odd-paired homolog, Drosophila)
100136468	ENSSSAG00000073304	agr2	agr2	anterior gradient 2
100136469	ENSSSAG00000073649	LOC100136469	LOC100136469	anterior gradient-2-like protein 2
100136470	NA	LOC100136470	LOC100136470	Sox8
100136471	ENSSSAG00000086669	myog	myog	myogenin
100136472	ENSSSAG00000029585	LOC100136472	LOC100136472	ubiquitin carboxyl-terminal hydrolase 48
100136473	ENSSSAG00000063226	LOC100136473	LOC100136473	follistatin-related protein 1
100136475	ENSSSAG00000080596	myod1c	myod1c	myoblast determination protein 1c
100136477	ENSSSAG00000044482	LOC100136477	LOC100136477	peroxisome proliferator-activated receptor gamma coactivator 1-beta
100136478	ENSSSAG00000039276	LOC100136478	LOC100136478	alpha amylase
100136479	NA	LOC100136479	LOC100136479	CD83 antigen
100136483	ENSSSAG00000072377	LOC100136483	LOC100136483	tubulin beta-1 chain
100136485	ENSSSAG00000077892	LOC100136485	LOC100136485	elongation factor 1-alpha, oocyte form
100136486	ENSSSAG00000094657	LOC100136486	LOC100136486	myosin-6
100136488	ENSSSAG00000038856	LOC100136488	LOC100136488	olfactory receptor 146
100136489	NA	sorf	sorf	main olfactory receptor-like protein
100136491	ENSSSAG00000053861	LOC100136491	LOC100136491	somatolactin
100136492	ENSSSAG00000068626	star	star	steroidogenic acute regulatory protein
100136493	ENSSSAG00000077407	tapbp	tapbp	TAP binding protein
100136494	ENSSSAG00000121802	LOC100136494	LOC100136494	decorin
100136495	ENSSSAG00000066608	myf6	myf6	myogenic factor 6
100136496	ENSSSAG00000054004	LOC100136496	LOC100136496	FIP2-like
100136497	ENSSSAG00000058216	prlra	prlra	prolactin receptor a
100136498	ENSSSAG00000046482	LOC100136498	LOC100136498	macrophage migration inhibitory factor
100136501	ENSSSAG00000040774	LOC100136501	LOC100136501	T-cell surface glycoprotein CD4
100136502	ENSSSAG00000076631	LOC100136502	LOC100136502	CD4-like protein
100136503	ENSSSAG00000005048	sr-bi	sr-bi	scavenger receptor class B type I
100136504	ENSSSAG00000055222	LOC100136504	LOC100136504	slow myosin light chain 1
100136505	ENSSSAG00000052231	get4	get4	guided entry of tail-anchored proteins factor 4
100136506	ENSSSAG00000049721	LOC100136506	LOC100136506	activin receptor type-2B
100136507	ENSSSAG00000071432	irf2	irf2	interferon regulatory factor 2
100136508	ENSSSAG00000072491	LOC100136508	LOC100136508	ubiquitin-conjugating enzyme E2 variant 1-like
100136509	ENSSSAG00000044993	LOC100136509	LOC100136509	tumor necrosis factor alpha
100136511	NA	LOC100136511	LOC100136511	CCL4-like chemokine
100136512	ENSSSAG00000107544	LOC100136512	LOC100136512	interleukin-10
100136513	ENSSSAG00000007886	cmpk2	cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial
100136514	NA	LOC100136514	LOC100136514	CD3zeta-2
100136515	ENSSSAG00000009995	LOC100136515	LOC100136515	CD3gammadelta-A
100136516	ENSSSAG00000076824	cd3e	cd3e	CD3e molecule
100136517	ENSSSAG00000108388	LOC100136517	LOC100136517	insulin-like growth factor I
100136518	NA	igfbp-1b1	igfbp-1b1	IGF binding protein 1
100136519	ENSSSAG00000096998	igfbp-2a	igfbp-2a	IGF binding protein 2
100136520	ENSSSAG00000008160	syn2b	syn2b	synapsin IIb
100136521	ENSSSAG00000065787	LOC100136521	LOC100136521	vertebrate ancient opsin
100136522	ENSSSAG00000003802	aldob	aldob	aldolase b, fructose-bisphosphate
100136523	ENSSSAG00000102595	tr-alpha	tr-alpha	thyroid hormone receptor alpha
100136525	NA	LOC100136525	LOC100136525	elongation factor 1 alpha
100136526	NA	LOC100136526	LOC100136526	peroxisome proliferator-activated receptor delta
100136528	ENSSSAG00000074478	ran1	ran1	Ran protein
100136529	ENSSSAG00000008142	antithrombin	antithrombin	antithrombin protein
100136530	ENSSSAG00000069876	il-1rl	il-1rl	interleukin-1 receptor-like protein
100136531	ENSSSAG00000076126	gdf-8	gdf-8	myostatin 1b
100136532	ENSSSAG00000017149	LOC100136532	LOC100136532	peroxisomal proliferator-activated receptor beta1A
100136533	ENSSSAG00000066201	gdh2	gdh2	glutamate dehydrogenase
100136534	ENSSSAG00000040107	myod1	myod1	myogenic differentiation 1
100136536	ENSSSAG00000061077	pparb2b	pparb2b	peroxisome proliferator-activated receptor beta2B
100136537	ENSSSAG00000072884	LOC100136537	LOC100136537	ubiquitin-60S ribosomal protein L40
100136538	ENSSSAG00000050319	LOC100136538	LOC100136538	protein S100-A1
100136539	ENSSSAG00000043162	LOC100136539	LOC100136539	glycerol-3-phosphate dehydrogenase
100136540	ENSSSAG00000093053	LOC100136540	LOC100136540	solute carrier family 2, facilitated glucose transporter member 4
100136541	ENSSSAG00000105254	LOC100136541	LOC100136541	ISG15-like protein
100136544	ENSSSAG00000059887	LOC100136544	LOC100136544	myogenic factor 6
100136546	ENSSSAG00000064946	tyr	tyr	tyrosinase
100136547	ENSSSAG00000006004	LOC100136547	LOC100136547	myogenic factor 5
100136549	ENSSSAG00000055061	LOC100136549	LOC100136549	CD3zeta-1
100136550	ENSSSAG00000051052	igf2b	igf2b	insulin-like growth factor 2b
100136551	ENSSSAG00000041370	igfbp-2b1	igfbp-2b1	IGF binding protein 3
100136552	ENSSSAG00000121005	LOC100136552	LOC100136552	IGF binding protein 5
100136553	ENSSSAG00000117627	igfbp6	igfbp6	IGF binding protein 6
100136554	ENSSSAG00000045171	igfbp7	igfbp7	insulin-like growth factor binding protein 7
100136555	NA	neu1	neu1	neuraminidase 1
100136557	ENSSSAG00000076873	tlr9	tlr9	toll-like receptor 9
100136558	ENSSSAG00000073567	stat1a	stat1a	signal transducer and activator of transcription 1a
100136559	ENSSSAG00000002509	LOC100136559	LOC100136559	transforming growth factor beta-1 proprotein
100136560	ENSSSAG00000064384	tfa	tfa	transferrin-a
100136561	ENSSSAG00000062912	LOC100136561	LOC100136561	bile salt-activated lipase
100136563	ENSSSAG00000042557	LOC100136563	LOC100136563	protein AMBP
100136564	ENSSSAG00000049977	LOC100136564	LOC100136564	ferritin heavy subunit
100136565	NA	LOC100136565	LOC100136565	ferritin middle subunit
100136567	NA	rps7	rps7	40S ribosomal protein S7
100136569	NA	LOC100136569	LOC100136569	fast myotomal muscle troponin-I
100136570	NA	tnni2	tnni2	troponin I type 2 (skeletal, fast)
100136571	ENSSSAG00000055203	LOC100136571	LOC100136571	troponin I
100136572	NA	hba	hba	hemoglobin subunit alpha
100136573	ENSSSAG00000115227	LOC100136573	LOC100136573	apolipoprotein A-I
100136575	ENSSSAG00000072037	alb1	alb1	serum albumin 1
100136576	ENSSSAG00000065233	LOC100136576	LOC100136576	beta globin
100136578	ENSSSAG00000080135	gnrh3	gnrh3	gonadotropin-releasing hormone 3
100136579	ENSSSAG00000065331	apobb.1	apobb.1	apolipoprotein Bb, tandem duplicate 1
100136580	ENSSSAG00000057719	prl	prl	prolactin
100136581	NA	mt2	mt2	metallothionein 2
100136582	ENSSSAG00000114502	pou1f1	pou1f1	POU class 1 homeobox 1
100136583	ENSSSAG00000028365	LOC100136583	LOC100136583	pentraxin
100136584	NA	LOC100136584	LOC100136584	beta-globin
100136585	ENSSSAG00000005352	tap1	tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
100136586	ENSSSAG00000006158	hnf1a	hnf1a	HNF1 homeobox a
100136587	ENSSSAG00000098558	LOC100136587	LOC100136587	Mx3 protein
100136588	ENSSSAG00000055013	LOC100136588	LOC100136588	growth hormone prepeptide
100136589	NA	LOC100136589	LOC100136589	metallothionein A
100136797	ENSSSAG00000001804	LOC100136797	LOC100136797	paired-like homeodomain transcription factor 3alpha
100136798	ENSSSAG00000075958	LOC100136798	LOC100136798	paired-like homeodomain transcription factor 3beta
100136799	ENSSSAG00000073060	LOC100136799	LOC100136799	paired like homeodomain 2
100136800	ENSSSAG00000067385	pitx1	pitx1	paired-like homeodomain 1
100136801	ENSSSAG00000102092	pitx2	pitx2	paired-like homeodomain 2
100136908	ENSSSAG00000071196	slc12a2	slc12a2	solute carrier family 12 member 2
100136911	ENSSSAG00000122051	ahr2a	ahr2a	aryl hydrocarbon receptor 2 alpha
100136913	ENSSSAG00000071494	ahr1	ahr1	aryl hydrocarbon receptor 1 alpha
100136915	ENSSSAG00000088295	ahr1b	ahr1b	aryl hydrocarbon receptor
100136919	ENSSSAG00000093386	tap2a	tap2a	transporter associated with antigen processing, subunit type a
100136920	ENSSSAG00000077530	mx2	mx2	myxovirus resistance 2
100136921	ENSSSAG00000098480	tl/lrr	tl/lrr	toll-like leucine-rich repeat
100136924	ENSSSAG00000077602	tap2b	tap2b	transport-associated protein 2b
100136925	ENSSSAG00000075543	tyrp-1	tyrp-1	tyrosinase-related protein 1
100136926	ENSSSAG00000069706	LOC100136926	LOC100136926	cytochrome P450 1A
100136928	ENSSSAG00000071786	pax7a	pax7a	paired box 7a
100136929	ENSSSAG00000095240	hn1l	hn1l	hematological and neurological expressed 1-like
100136930	ENSSSAG00000086449	LOC100136930	LOC100136930	eggshell protein
100136932	ENSSSAG00000067360	p38a	p38a	mitogen activated protein kinase p38a
100136933	NA	LOC100136933	LOC100136933	beta-2-microglobulin
100136934	ENSSSAG00000056078	thrb	thrb	thyroid hormone receptor beta
100136935	ENSSSAG00000041955	LOC100136935	LOC100136935	paired-like homeodomain transcription factor 1beta
100136936	ENSSSAG00000042126	psmb9-a	psmb9-a	proteasome subunit beta type-9a
100136939	ENSSSAG00000009672	snrpa1	snrpa1	small nuclear ribonucleoprotein polypeptide A'
100136940	ENSSSAG00000114717	LOC100136940	LOC100136940	long wave-sensitive opsin
100136941	ENSSSAG00000104363	opn1sw2	opn1sw2	opsin 1 (cone pigments), short-wave-sensitive 2
100136942	ENSSSAG00000088508	LOC100136942	LOC100136942	RH2 opsin
100136943	ENSSSAG00000070270	opn1sw1	opn1sw1	opsin 1 (cone pigments), short-wave-sensitive 1
100136944	ENSSSAG00000039423	mkk6a	mkk6a	mitogen-activated protein kinase kinase 6a
100136945	ENSSSAG00000036512	LOC100136945	LOC100136945	testicular cytochrome P45011beta
100137019	ENSSSAG00000108534	ifna1	ifna1	interferon alpha 1
100137020	ENSSSAG00000003331	rtn7	rtn7	reticulon 7
100137021	NA	trp-i	trp-i	trypsin I
100137023	ENSSSAG00000093034	trp-ii	trp-ii	trypsin II
100137024	ENSSSAG00000086355	prss1	prss1	serine protease 1
100137036	ENSSSAG00000077713	brd2	brd2	bromodomain containing 2
100137045	NA	psmb9a	psmb9a	proteasome 20S subunit beta 9a
100137046	ENSSSAG00000075015	p38b	p38b	mitogen activated protein kinase p38b
100137048	ENSSSAG00000002846	mlc-2	mlc-2	myosin regulatory light chain 2
100137050	ENSSSAG00000096683	prvb	prvb	parvalbumin beta
100137051	ENSSSAG00000119075	LOC100137051	LOC100137051	parvalbumin beta-like
100137052	ENSSSAG00000074891	rtn4	rtn4	reticulon 4
100137053	ENSSSAG00000055711	rtn10	rtn10	reticulon 10
100137054	ENSSSAG00000080223	rtn3	rtn3	reticulon 3
100137055	ENSSSAG00000041566	csf3r	csf3r	colony stimulating factor 3 receptor (granulocyte)
100137056	NA	hn1	hn1	hematological and neurological expressed 1
100137092	ENSSSAG00000081457	LOC100137092	LOC100137092	dopachrome tautomerase-like
100137726	ENSSSAG00000076592	tyrp-1b	tyrp-1b	tyrosinase-related protein 1b
100141317	ENSSSAG00000039055	fxyd5a	fxyd5a	FXYD domain containing ion transport regulator 5a
100141318	ENSSSAG00000056570	fxyd5b	fxyd5b	FXYD domain containing ion transport regulator 5b
100141319	ENSSSAG00000039662	fxyd9a	fxyd9a	FXYD domain containing ion transport regulator 9a
100141320	ENSSSAG00000056484	fxyd9b	fxyd9b	FXYD domain containing ion transport regulator 9b
100141321	ENSSSAG00000039402	fxyd7	fxyd7	FXYD domain containing ion transport regulator 7
100141322	NA	fxyd11a	fxyd11a	FXYD domain containing ion transport regulator 11a
100141323	NA	fxyd11b	fxyd11b	FXYD domain containing ion transport regulator 11b
100141324	NA	fxyd12a	fxyd12a	FXYD domain containing ion transport regulator 12a
100142630	ENSSSAG00000039365	fxyd6l	fxyd6l	FXYD domain containing ion transport regulator 6 like
100169853	ENSSSAG00000076595	LOC100169853	LOC100169853	truncated CD4-2A-like protein
100169854	ENSSSAG00000040842	LOC100169854	LOC100169854	uncharacterized LOC100169854
100169856	NA	LOC100169856	LOC100169856	proopiomelanocortin B
100169857	ENSSSAG00000112552	LOC100169857	LOC100169857	uncharacterized LOC100169857
100169858	ENSSSAG00000043323	LOC100169858	LOC100169858	toll-interacting protein-like
100169859	ENSSSAG00000067007	myd88	myd88	MYD88 innate immune signal transduction adaptor
100170846	ENSSSAG00000053050	hoxa3ab	hoxa3ab	homeobox protein HoxA3ab
100170847	ENSSSAG00000065006	hoxa2aa	hoxa2aa	homeobox protein HoxA2aa
100170848	ENSSSAG00000053094	hoxa10ab	hoxa10ab	homeobox protein HoxA10ab
100170849	ENSSSAG00000002095	hoxa2b	hoxa2b	homeo box A2b
100192333	ENSSSAG00000069016	lhx3	lhx3	LIM homeobox 3
100192335	ENSSSAG00000067292	prop1	prop1	PROP paired-like homeobox 1
100192336	ENSSSAG00000076373	LOC100192336	LOC100192336	interferon regulatory factor 7
100192337	ENSSSAG00000002008	map2k6	map2k6	mitogen-activated protein kinase kinase 6
100192338	ENSSSAG00000120988	mkk6c	mkk6c	MAPK kinase 6c
100192339	ENSSSAG00000060615	bglap	bglap	bone gamma-carboxyglutamate (gla) protein
100192340	ENSSSAG00000079420	elovl5	elovl5	ELOVL fatty acid elongase 5
100192341	ENSSSAG00000078500	elovl2	elovl2	ELOVL fatty acid elongase 2
100194429	NA	cck-l	cck-l	cholecystokinin-L
100194430	NA	cckb	cckb	cholecystokinin b
100194431	ENSSSAG00000106078	pyy	pyy	peptide YY
100194432	ENSSSAG00000077459	hoxc13aa	hoxc13aa	homeobox protein HoxC13aa
100194433	NA	hoxc11aa	hoxc11aa	homeobox protein HoxC11aa
100194434	ENSSSAG00000077481	hoxc9aa	hoxc9aa	homeobox protein HoxC9aa
100194435	ENSSSAG00000077484	hoxc8aa	hoxc8aa	homeobox protein HoxC8aa
100194436	NA	hoxc6aa	hoxc6aa	homeobox protein HoxC6aa
100194437	NA	hoxc5aa	hoxc5aa	homeobox protein HoxC5aa
100194438	ENSSSAG00000077504	hoxc4aa	hoxc4aa	homeobox protein HoxC4aa
100194439	ENSSSAG00000065802	hoxc13ab	hoxc13ab	homeobox protein HoxC13ab
100194440	ENSSSAG00000065789	hoxc10ab	hoxc10ab	homeobox protein HoxC10ab
100194441	ENSSSAG00000116370	hoxc9ab	hoxc9ab	homeobox protein HoxC9ab
100194442	ENSSSAG00000065782	hoxc8ab	hoxc8ab	homeobox protein HoxC8an
100194443	ENSSSAG00000065777	hoxc6ab	hoxc6ab	homeobox protein HoxC6ab
100194444	ENSSSAG00000065769	hoxc5ab	hoxc5ab	homeobox protein HoxC5ab
100194445	ENSSSAG00000081830	hoxc1ab	hoxc1ab	homeobox protein HoxC1ab
100194446	ENSSSAG00000066791	hoxc12ba	hoxc12ba	homeobox protein HoxC12ba
100194447	NA	hoxc10ba	hoxc10ba	homeobox protein HoxC10ba
100194448	ENSSSAG00000066780	hoxc9ba	hoxc9ba	homeobox protein HoxC9ba
100194449	ENSSSAG00000066778	hoxc8ba	hoxc8ba	homeobox protein HoxC8ba
100194450	ENSSSAG00000066765	hoxc4ba	hoxc4ba	homeobox protein HoxC4ba
100194451	ENSSSAG00000066797	hoxc13	hoxc13	homeobox C13
100194452	ENSSSAG00000100264	hoxc12	hoxc12	homeobox C12
100194454	ENSSSAG00000087969	hoxc9	hoxc9	homeobox C9
100194455	ENSSSAG00000094585	hoxc8	hoxc8	homeobox C8
100194456	ENSSSAG00000119352	hoxc5	hoxc5	homeobox C5
100194457	ENSSSAG00000087182	evx2a	evx2a	even-skipped homeobox 2a
100194458	ENSSSAG00000064509	hoxd13a	hoxd13a	homeobox D13a
100194459	ENSSSAG00000064512	hoxd12a	hoxd12a	homeobox D12a
100194460	NA	hoxd11a	hoxd11a	homeobox D11a
100194461	ENSSSAG00000064533	hoxd10a	hoxd10a	homeobox D10a
100194462	ENSSSAG00000064556	hoxd3a	hoxd3a	homeobox D3a
100194463	ENSSSAG00000064567	hoxd1aa	hoxd1aa	homeobox protein HoxD1aa
100194464	NA	hoxd12ab	hoxd12ab	homeobox protein HoxD12ab
100194465	NA	hoxd11ab	hoxd11ab	homeobox protein HoxD11ab
100194466	ENSSSAG00000072925	hoxd10ab	hoxd10ab	homeobox protein HoxD10ab
100194467	ENSSSAG00000072913	hoxd4ab	hoxd4ab	homeobox protein HoxD4ab
100194468	ENSSSAG00000065063	hoxa11aa	hoxa11aa	homeobox protein HoxA11aa
100194469	ENSSSAG00000118319	LOC100194469	LOC100194469	homeobox protein Hox-A10
100194471	NA	hoxa7aa	hoxa7aa	homeobox protein HoxA7aa
100194472	ENSSSAG00000053069	hoxa5aa	hoxa5aa	homeobox protein HoxA5aa
100194473	ENSSSAG00000082638	hoxa1a	hoxa1a	homeobox A1a
100194474	ENSSSAG00000053102	hoxa13	hoxa13	homeobox A13
100194475	ENSSSAG00000053097	hoxa11ab	hoxa11ab	homeobox protein HoxA11ab
100194476	ENSSSAG00000065038	hoxa9ab	hoxa9ab	homeobox protein HoxA9ab
100194477	NA	hoxa7ab	hoxa7ab	homeobox protein HoxA7ab
100194478	ENSSSAG00000065028	hoxa5a	hoxa5a	homeobox A5a
100194479	ENSSSAG00000065018	hoxa4a	hoxa4a	homeobox A4a
100194480	NA	hoxa13b	hoxa13b	homeo box A13b
100194481	ENSSSAG00000091880	hoxa10b	hoxa10b	homeobox A10b
100194482	NA	hoxa9b	hoxa9b	homeo box A9b
100194483	ENSSSAG00000004515	hoxb13aa	hoxb13aa	homeobox protein HoxB13aa
100194484	NA	hoxb8aa	hoxb8aa	homeobox protein HoxB8aa
100194485	NA	hoxb6aa	hoxb6aa	homeobox protein HoxB6aa
100194486	ENSSSAG00000004371	hoxb3a	hoxb3a	homeobox B3a
100194487	ENSSSAG00000004337	hoxb1aa	hoxb1aa	homeobox protein HoxB1aa
100194488	ENSSSAG00000005954	hoxb13ab	hoxb13ab	homeobox protein HoxB13ab
100194489	ENSSSAG00000005971	hoxb8ab	hoxb8ab	homeobox protein HoxB8ab
100194490	ENSSSAG00000005990	hoxb6ab	hoxb6ab	homeobox protein HoxB6ab
100194491	ENSSSAG00000005995	hoxb4ab	hoxb4ab	homeobox protein HoxB4ab
100194492	NA	hoxb2ab	hoxb2ab	homeobox protein HoxB2ab
100194493	ENSSSAG00000006062	hoxb1ab	hoxb1ab	homeobox protein HoxB1ab
100194494	ENSSSAG00000031831	hoxb8ba	hoxb8ba	homeobox protein HoxB8ba2
100194495	ENSSSAG00000000133	LOC100194495	LOC100194495	early growth response protein 2b
100194496	ENSSSAG00000045825	ghrl	ghrl	ghrelin/obestatin prepropeptide
100194498	ENSSSAG00000048059	LOC100194498	LOC100194498	insulin-like growth factor binding protein 4
100194499	ENSSSAG00000047729	igf1ra	igf1ra	insulin-like growth factor 1a receptor
100194500	ENSSSAG00000039751	LOC100194500	LOC100194500	insulin-like growth factor-binding protein 5
100194501	ENSSSAG00000000174	ckmt2	ckmt2	creatine kinase, mitochondrial 2 (sarcomeric)
100194502	ENSSSAG00000064323	LOC100194502	LOC100194502	protein phosphatase 1, regulatory (inhibitor) subunit 7
100194503	NA	map1lc3a	map1lc3a	microtubule-associated protein 1 light chain 3 alpha
