NCBI_TID	Microarray_PID
NM_001141477.2	C085R048
NM_001141477.2	C168R109
NM_001141493.2	C044R110
NM_001141500.2	C254R092
NM_001141500.2	C134R069
NM_001141523.1	C181R064
NM_001141534.1	C184R069
NM_001141534.1	C205R151
NM_001141534.1	C237R016
NM_001141549.2	C102R006
NM_001141549.2	C014R104
NM_001141559.1	C136R080
NM_001141561.2	C065R028
NM_001141568.2	C152R005
NM_001141595.1	C087R026
NM_001141600.1	C202R067
NM_001141600.1	C012R041
NM_001141635.1	C068R110
NM_001141635.1	C142R095
NM_001141644.1	C148R014
NM_001141644.1	C064R008
NM_001141644.1	C161R018
NM_001141646.1	C208R023
NM_001141656.2	C082R128
NM_001141679.1	C162R016
NM_001141679.1	C106R067
NM_001141680.1	C251R141
NM_001141700.1	C212R042
NM_001141719.1	C198R143
NM_001141725.1	C197R093
NM_001141727.1	C247R044
NM_001141727.1	C230R128
NM_001141746.1	C188R001
NM_001141747.1	C173R069
NM_001141749.1	C254R033
NM_001141759.1	C248R073
NM_001141759.1	C145R156
NM_001141777.1	C158R021
NM_001141783.1	C099R135
NM_001141785.1	C172R097
NM_001141791.1	C002R021
NM_001141791.1	C236R163
NM_001141801.1	C080R161
NM_001141801.1	C210R165
NM_001141822.1	C232R138
NM_001141848.1	C143R088
NM_001141848.1	C199R149
NM_001141848.1	C218R049
NM_001141909.1	C194R052
NM_001141909.1	C188R121
NM_001141909.1	C029R139
NM_001141911.1	C189R150
NM_001141916.2	C029R161
NM_001146387.2	C251R097
NM_001146470.1	C039R153
NM_001146483.1	C263R150
NM_001146483.1	C131R052
NM_001146485.2	C243R060
NM_001146485.2	C179R097
NM_001146512.1	C041R092
NM_001146562.1	C058R113
NM_001146566.1	C241R168
NM_001146589.2	C066R042
NM_001146601.2	C145R138
NM_001146612.1	C063R121
NM_001146673.1	C099R104
NM_001146673.1	C118R070
NM_001163081.1	C193R161
NM_001163699.1	C001R050
NM_001163699.1	C063R127
NM_001165269.1	C209R008
NM_001165307.1	C003R089
NM_001165310.1	C149R003
NM_001165353.1	C144R083
NM_001165367.1	C140R093
NM_001165376.1	C254R080
NM_001165389.1	C123R101
NM_001165395.1	C144R155
NM_001165395.1	C113R125
NM_001165395.1	C128R095
NM_001171780.1	C223R038
NM_001171850.1	C207R158
NM_001171850.1	C143R078
NM_001172282.1	C169R001
NM_001173566.1	C132R094
NM_001173566.1	C121R066
NM_001173590.1	C122R100
NM_001173595.1	C184R132
NM_001173605.1	C070R080
NM_001173612.1	C266R031
NM_001173613.1	C170R042
NM_001173629.1	C054R144
NM_001173639.1	C141R158
NM_001173644.1	C084R080
NM_001173645.1	C073R121
NM_001173645.1	C182R121
NM_001173661.1	C178R012
NM_001173663.1	C141R028
NM_001173670.1	C089R065
NM_001173673.1	C203R004
NM_001173675.1	C182R162
NM_001173691.1	C217R045
NM_001173701.1	C207R055
NM_001173702.1	C015R121
NM_001173702.1	C265R062
NM_001173712.1	C149R157
NM_001173737.1	C053R054
NM_001173744.1	C092R141
NM_001173763.1	C120R108
NM_001173770.1	C081R148
NM_001173770.1	C134R013
NM_001173822.1	C255R019
NM_001173826.1	C191R040
NM_001173826.1	C029R096
NM_001173826.1	C219R167
NM_001173826.1	C213R073
NM_001173835.1	C033R127
NM_001173857.1	C026R030
NM_001173866.1	C035R031
NM_001173870.1	C100R006
NM_001173893.1	C100R019
NM_001173900.1	C246R017
NM_001173911.1	C164R016
NM_001173933.1	C099R092
NM_001173944.1	C179R155
NM_001204100.1	C106R123
NM_001204894.1	C089R130
NM_001204894.1	C081R028
NM_001252353.1	C145R112
NM_001252359.1	C162R013
NM_001279013.1	C186R073
NM_001279087.1	C194R010
NM_001279112.1	C233R142
NM_001279112.1	C198R004
NM_001279112.1	C184R062
NM_001279112.1	C108R153
XM_014122879.2	C088R014
XM_014122974.2	C061R124
XM_014123049.2	C159R008
XM_014123055.2	C092R126
XM_014123207.2	C172R025
XM_014123207.2	C195R042
XM_014123267.2	C089R160
XM_014123323.2	C266R037
XM_014123442.2	C154R151
XM_014124073.2	C263R053
XM_014124073.2	C233R116
XM_014124116.2	C152R054
XM_014124137.1	C165R038
XM_014124137.1	C112R167
XM_014124139.2	C257R050
XM_014124142.2	C046R025
XM_014124225.2	C051R046
XM_014124356.2	C190R148
XM_014124418.2	C100R027
XM_014124428.2	C128R054
XM_014124428.2	C266R051
XM_014124561.2	C035R074
XM_014124674.2	C166R159
XM_014124715.2	C241R046
XM_014124780.2	C053R054
XM_014124834.2	C034R031
XM_014124834.2	C245R046
XM_014124858.2	C075R068
XM_014125422.2	C170R036
XM_014125524.2	C127R103
XM_014125721.2	C003R061
XM_014125797.2	C227R129
XM_014125919.2	C026R087
XM_014126037.2	C139R037
XM_014126065.2	C042R005
XM_014126121.2	C122R044
XM_014126121.2	C005R097
XM_014126236.2	C005R028
XM_014126246.2	C031R005
XM_014126246.2	C134R093
XM_014126402.2	C042R109
XM_014126524.2	C143R028
XM_014126524.2	C058R148
XM_014126524.2	C037R117
XM_014126573.2	C221R158
XM_014126590.2	C146R151
XM_014126691.2	C223R039
XM_014126787.1	C023R019
XM_014126837.2	C164R094
XM_014126882.2	C263R022
XM_014127004.2	C009R033
XM_014127061.2	C169R089
XM_014127061.2	C101R090
XM_014127067.2	C163R168
XM_014127165.2	C160R148
XM_014127165.2	C007R020
XM_014127258.2	C218R105
XM_014127286.2	C236R104
XM_014127595.2	C186R150
XM_014127623.2	C017R009
XM_014127697.2	C208R023
XM_014127955.2	C181R077
XM_014128193.2	C063R094
XM_014128293.2	C181R053
XM_014128312.2	C017R063
XM_014128472.2	C068R110
XM_014128541.2	C114R007
XM_014128695.2	C259R136
XM_014128805.2	C096R011
XM_014128805.2	C240R009
XM_014128805.2	C061R168
XM_014128805.2	C197R073
XM_014128805.2	C142R087
XM_014128906.2	C126R061
XM_014128906.2	C126R146
XM_014128906.2	C061R136
XM_014128936.2	C050R020
XM_014129069.2	C088R110
XM_014129164.2	C140R123
XM_014129206.2	C203R110
XM_014129261.2	C251R068
XM_014129269.2	C026R133
XM_014129339.2	C203R100
XM_014129348.2	C051R118
XM_014129366.2	C044R089
XM_014129429.1	C078R139
XM_014129519.2	C246R149
XM_014129893.2	C228R050
XM_014130176.2	C050R048
XM_014130303.2	C037R001
XM_014130412.2	C262R045
XM_014130418.2	C158R074
XM_014130622.2	C016R141
XM_014130704.2	C146R066
XM_014130715.2	C192R050
XM_014130727.2	C104R036
XM_014130880.2	C230R111
XM_014130924.2	C123R065
XM_014131242.2	C226R170
XM_014131256.2	C237R146
XM_014131349.2	C093R003
XM_014131454.2	C191R124
XM_014131503.2	C226R049
XM_014131558.2	C029R161
XM_014131627.2	C123R077
XM_014131729.2	C151R118
XM_014131768.2	C217R045
XM_014131768.2	C066R015
XM_014131770.2	C052R001
XM_014131850.2	C070R070
XM_014131865.2	C211R095
XM_014131878.2	C263R103
XM_014131892.2	C158R003
XM_014131929.2	C111R054
XM_014132022.2	C236R062
XM_014132122.2	C106R067
XM_014132132.2	C014R078
XM_014132183.2	C172R091
XM_014132183.2	C181R096
XM_014132345.2	C148R059
XM_014132538.2	C025R075
XM_014132603.2	C171R004
XM_014132656.2	C088R120
XM_014132672.2	C192R069
XM_014132719.2	C051R105
XM_014132771.2	C142R095
XM_014132812.2	C120R046
XM_014132812.2	C232R155
XM_014132826.2	C019R115
XM_014132862.2	C069R091
XM_014133039.2	C079R115
XM_014133076.2	C170R145
XM_014133087.2	C236R043
XM_014133187.2	C036R105
XM_014133230.2	C208R031
XM_014133293.2	C181R125
XM_014133377.2	C042R158
XM_014133457.2	C163R079
XM_014133713.2	C149R105
XM_014133873.2	C116R151
XM_014133960.2	C114R057
XM_014133960.2	C211R149
XM_014133993.2	C028R167
XM_014134056.2	C156R155
XM_014134056.2	C253R092
XM_014134308.2	C001R080
XM_014134510.2	C090R154
XM_014134534.2	C249R064
XM_014134554.2	C163R125
XM_014134554.2	C207R103
XM_014134585.2	C105R015
XM_014134596.2	C182R132
XM_014134753.2	C086R056
XM_014134772.2	C159R025
XM_014134772.2	C176R040
XM_014134912.2	C086R077
XM_014135019.2	C080R082
XM_014135025.2	C141R054
XM_014135105.2	C241R048
XM_014135146.2	C194R076
XM_014135160.2	C102R023
XM_014135160.2	C092R048
XM_014135163.2	C212R095
XM_014135480.2	C143R066
XM_014135488.2	C231R168
XM_014135542.2	C177R139
XM_014135658.2	C123R019
XM_014135722.2	C097R024
XM_014135799.2	C255R080
XM_014135870.2	C053R040
XM_014136127.2	C061R163
XM_014136177.2	C228R030
XM_014136177.2	C086R020
XM_014136182.2	C065R005
XM_014136206.2	C041R055
XM_014136490.2	C266R119
XM_014136490.2	C162R165
XM_014136778.2	C174R077
XM_014137075.2	C152R065
XM_014137101.2	C254R084
XM_014137135.2	C037R041
XM_014137336.2	C217R128
XM_014137339.2	C228R059
XM_014137425.2	C202R068
XM_014137444.2	C197R093
XM_014137561.2	C233R121
XM_014137589.2	C217R160
XM_014137708.2	C047R076
XM_014137763.2	C042R118
XM_014137818.2	C191R076
XM_014137827.2	C144R112
XM_014137886.2	C187R076
XM_014138052.2	C239R138
XM_014138214.2	C067R006
XM_014138445.2	C060R054
XM_014138449.2	C082R018
XM_014138614.2	C121R112
XM_014138664.2	C256R113
XM_014138664.2	C222R040
XM_014138713.2	C113R145
XM_014138725.2	C233R049
XM_014138729.2	C151R026
XM_014138766.2	C089R130
XM_014138766.2	C081R028
XM_014138976.2	C237R166
XM_014139103.2	C119R070
XM_014139380.2	C096R117
XM_014139470.2	C057R009
XM_014139502.2	C132R094
XM_014139502.2	C121R066
XM_014139558.2	C107R099
XM_014139560.2	C179R009
XM_014139581.2	C230R053
XM_014139718.2	C161R062
XM_014139824.2	C196R094
XM_014139948.2	C075R054
XM_014140216.1	C137R140
XM_014140216.1	C236R126
XM_014140216.1	C029R095
XM_014140222.2	C048R143
XM_014140316.2	C178R115
XM_014140321.2	C039R103
XM_014140425.2	C144R017
XM_014140565.2	C226R102
XM_014140684.2	C021R049
XM_014140768.2	C219R084
XM_014140785.2	C050R018
XM_014140798.2	C137R125
XM_014140845.2	C212R143
XM_014141276.2	C148R058
XM_014141296.2	C067R130
XM_014141296.2	C176R082
XM_014141297.2	C054R108
XM_014141522.2	C076R106
XM_014141617.2	C113R123
XM_014141617.2	C077R042
XM_014141723.2	C165R073
XM_014141870.2	C184R021
XM_014141870.2	C044R145
XM_014141907.2	C256R064
XM_014141907.2	C052R113
XM_014141907.2	C101R158
XM_014141907.2	C100R097
XM_014141935.2	C243R103
XM_014142037.2	C019R094
XM_014142037.2	C261R108
XM_014142167.2	C141R028
XM_014142310.2	C137R070
XM_014142319.2	C168R101
XM_014142324.2	C261R136
XM_014142349.2	C034R132
XM_014142376.2	C001R139
XM_014142398.2	C256R099
XM_014142460.2	C035R163
XM_014142466.2	C107R116
XM_014142498.2	C101R086
XM_014142504.2	C119R154
XM_014142648.2	C234R163
XM_014142903.2	C177R096
XM_014142903.2	C045R137
XM_014142903.2	C070R032
XM_014142903.2	C190R096
XM_014143020.2	C119R055
XM_014143055.2	C114R148
XM_014143217.2	C136R105
XM_014143281.2	C104R049
XM_014143424.2	C156R091
XM_014143429.2	C107R007
XM_014143757.2	C062R103
XM_014143969.2	C246R142
XM_014143974.2	C217R069
XM_014144068.2	C046R068
XM_014144294.2	C068R099
XM_014144453.2	C161R035
XM_014144641.2	C074R057
XM_014144642.2	C181R160
XM_014144666.2	C134R166
XM_014144671.2	C069R050
XM_014144689.2	C046R112
XM_014144699.2	C199R015
XM_014144807.2	C149R127
XM_014144860.2	C006R052
XM_014145081.2	C051R144
XM_014145138.2	C203R004
XM_014145261.2	C166R116
XM_014145263.2	C114R156
XM_014145263.2	C161R163
XM_014145358.2	C174R086
XM_014145393.2	C061R022
XM_014145448.2	C149R140
XM_014145477.2	C030R016
XM_014145483.2	C047R032
XM_014145490.2	C076R133
XM_014145551.2	C041R149
XM_014145893.2	C172R012
XM_014146048.2	C013R054
XM_014146048.2	C183R023
XM_014146048.2	C109R141
XM_014146048.2	C088R086
XM_014146292.2	C037R035
XM_014146800.2	C089R122
XM_014146838.2	C258R052
XM_014146855.2	C110R021
XM_014146933.2	C247R168
XM_014146955.2	C153R077
XM_014146978.2	C057R115
XM_014146978.2	C196R158
XM_014147039.2	C114R065
XM_014147146.2	C124R127
XM_014147334.2	C102R071
XM_014147368.2	C093R054
XM_014147704.2	C104R081
XM_014147896.2	C264R064
XM_014147980.2	C179R144
XM_014148424.2	C248R150
XM_014148496.2	C146R082
XM_014148545.2	C151R088
XM_014148551.2	C156R022
XM_014148589.2	C177R074
XM_014148590.2	C210R120
XM_014148678.2	C227R073
XM_014148723.2	C105R066
XM_014148876.2	C100R044
XM_014148879.2	C203R012
XM_014148887.2	C254R087
XM_014149014.2	C122R168
XM_014149014.2	C058R138
XM_014149044.2	C142R062
XM_014149159.2	C259R111
XM_014149184.2	C124R103
XM_014149184.2	C172R064
XM_014149274.2	C073R085
XM_014149287.2	C224R141
XM_014149291.2	C236R042
XM_014149364.2	C039R102
XM_014149381.2	C117R148
XM_014149381.2	C046R038
XM_014149760.2	C218R071
XM_014149771.2	C016R113
XM_014150165.2	C120R128
XM_014150240.2	C147R158
XM_014150449.2	C007R050
XM_014150871.2	C155R129
XM_014151011.2	C012R041
XM_014151011.2	C202R067
XM_014151227.2	C141R064
XM_014151228.2	C026R085
XM_014151276.2	C249R147
XM_014151321.2	C159R075
XM_014151386.2	C039R153
XM_014151388.2	C149R003
XM_014151574.2	C023R069
XM_014151575.2	C119R045
XM_014151701.2	C023R085
XM_014151762.2	C151R122
XM_014151781.2	C228R161
XM_014151834.2	C259R142
XM_014151858.2	C006R147
XM_014152141.2	C260R056
XM_014152244.2	C199R117
XM_014152244.2	C162R124
XM_014152370.2	C027R023
XM_014152470.2	C243R129
XM_014152811.2	C071R078
XM_014152836.2	C226R071
XM_014152850.2	C225R102
XM_014152853.2	C253R114
XM_014152969.2	C029R078
XM_014152971.2	C136R004
XM_014153007.2	C029R108
XM_014153083.2	C085R068
XM_014153159.2	C114R130
XM_014153182.2	C084R078
XM_014153192.2	C028R131
XM_014153192.2	C115R123
XM_014153281.2	C128R014
XM_014153314.2	C221R131
XM_014153330.2	C054R016
XM_014153377.2	C253R020
XM_014153656.2	C035R146
XM_014153818.2	C131R066
XM_014153860.2	C182R163
XM_014153860.2	C042R116
XM_014153860.2	C209R129
XM_014153931.2	C035R133
XM_014153931.2	C172R162
XM_014153931.2	C149R100
XM_014154057.2	C128R036
XM_014154057.2	C090R116
XM_014154059.2	C181R155
XM_014154109.2	C042R002
XM_014154126.2	C190R122
XM_014154203.2	C118R060
XM_014154252.2	C246R112
XM_014154271.2	C032R141
XM_014154284.2	C131R084
XM_014154296.2	C145R033
XM_014154333.2	C246R095
XM_014154363.2	C216R037
XM_014154599.2	C083R061
XM_014154644.2	C006R123
XM_014154853.2	C002R078
XM_014154965.2	C017R052
XM_014155166.2	C058R113
XM_014155212.2	C091R014
XM_014155599.2	C081R022
XM_014155599.2	C223R099
XM_014155619.2	C140R142
XM_014155629.2	C013R127
XM_014155629.2	C047R086
XM_014155629.2	C087R091
XM_014155645.1	C168R035
XM_014155652.2	C210R115
XM_014155652.2	C165R129
XM_014155652.2	C005R058
XM_014155652.2	C027R097
XM_014155787.2	C006R042
XM_014155935.2	C191R130
XM_014155944.2	C082R167
XM_014156009.2	C154R121
XM_014156009.2	C166R027
XM_014156086.2	C168R038
XM_014156099.2	C149R089
XM_014156123.2	C111R093
XM_014156222.2	C217R124
XM_014156243.2	C059R148
XM_014156243.2	C165R048
XM_014156243.2	C256R079
XM_014156245.2	C098R057
XM_014156315.2	C036R135
XM_014156316.2	C121R036
XM_014156323.2	C223R097
XM_014156396.2	C248R073
XM_014156396.2	C145R156
XM_014156519.2	C066R049
XM_014156586.2	C157R019
XM_014156615.2	C034R158
XM_014156841.2	C215R102
XM_014156890.2	C212R001
XM_014157038.2	C030R065
XM_014157132.2	C263R094
XM_014157197.2	C252R126
XM_014157197.2	C136R111
XM_014157391.2	C216R073
XM_014157476.2	C020R020
XM_014157516.2	C171R082
XM_014157631.1	C035R055
XM_014157633.2	C068R030
XM_014157806.2	C143R021
XM_014157882.2	C144R092
XM_014157950.2	C083R069
XM_014158038.2	C074R088
XM_014158038.2	C218R042
XM_014158099.2	C008R060
XM_014158141.2	C073R159
XM_014158202.2	C208R053
XM_014158291.2	C114R090
XM_014158292.2	C207R073
XM_014158302.2	C139R062
XM_014158348.2	C018R143
XM_014158358.2	C044R160
XM_014158368.2	C241R142
XM_014158485.2	C237R134
XM_014158504.2	C074R048
XM_014158543.2	C040R066
XM_014158667.2	C060R134
XM_014158725.2	C189R001
XM_014158764.2	C156R037
XM_014158957.2	C226R166
XM_014158985.2	C111R056
XM_014159007.2	C208R124
XM_014159402.2	C130R067
XM_014159496.2	C101R064
XM_014159540.2	C210R010
XM_014159592.1	C230R018
XM_014159684.2	C071R101
XM_014159994.2	C023R132
XM_014160082.1	C035R031
XM_014160141.2	C241R136
XM_014160353.2	C057R113
XM_014160366.2	C115R011
XM_014160372.2	C107R080
XM_014160587.2	C152R119
XM_014160777.2	C186R106
XM_014160813.2	C229R112
XM_014161156.2	C255R144
XM_014161166.2	C047R075
XM_014161177.2	C207R051
XM_014161206.2	C127R026
XM_014161297.2	C139R162
XM_014161409.2	C046R114
XM_014161409.2	C208R010
XM_014161455.2	C009R056
XM_014161475.2	C163R027
XM_014161475.2	C165R133
XM_014161533.2	C031R004
XM_014161570.2	C144R068
XM_014161679.2	C087R127
XM_014161689.2	C222R126
XM_014161689.2	C035R044
XM_014161776.2	C089R049
XM_014161785.2	C001R079
XM_014161800.1	C202R074
XM_014161800.1	C003R143
XM_014162058.2	C219R022
XM_014162099.2	C123R070
XM_014162099.2	C240R121
XM_014162228.2	C213R096
XM_014162278.2	C167R063
XM_014162298.2	C218R166
XM_014162467.2	C253R048
XM_014162467.2	C088R131
XM_014162467.2	C150R120
XM_014162467.2	C133R072
XM_014162467.2	C180R001
XM_014162467.2	C004R153
XM_014162467.2	C261R071
XM_014162467.2	C172R083
XM_014162467.2	C109R074
XM_014162467.2	C013R018
XM_014162467.2	C180R083
XM_014162467.2	C264R043
XM_014162467.2	C177R165
XM_014162467.2	C114R170
XM_014162467.2	C185R090
XM_014162467.2	C066R135
XM_014162552.2	C001R065
XM_014162552.2	C232R072
XM_014162559.2	C064R111
XM_014162774.2	C161R073
XM_014162782.2	C172R097
XM_014162793.2	C050R075
XM_014162811.2	C143R103
XM_014162825.2	C103R023
XM_014162868.2	C135R160
XM_014162917.2	C256R061
XM_014162943.2	C085R064
XM_014163098.2	C219R066
XM_014163114.2	C170R056
XM_014163130.2	C137R132
XM_014163250.2	C145R098
XM_014163961.2	C089R065
XM_014163977.2	C137R043
XM_014163995.2	C118R134
XM_014164016.2	C010R130
XM_014164142.2	C044R169
XM_014164248.2	C218R124
XM_014164267.2	C195R081
XM_014164434.2	C151R056
XM_014164544.2	C191R056
XM_014164946.2	C139R060
XM_014164954.2	C266R031
XM_014165122.2	C241R145
XM_014165124.2	C243R047
XM_014165148.2	C097R125
XM_014165160.2	C024R009
XM_014165510.2	C010R026
XM_014165672.2	C174R071
XM_014166195.2	C074R101
XM_014166293.2	C006R090
XM_014166427.2	C104R118
XM_014166427.2	C091R025
XM_014166491.2	C019R111
XM_014166543.2	C123R041
XM_014166622.2	C042R117
XM_014166743.2	C095R103
XM_014166834.2	C073R048
XM_014166872.2	C117R065
XM_014166879.2	C007R016
XM_014166978.2	C245R157
XM_014166985.2	C109R024
XM_014167022.2	C202R156
XM_014167170.2	C120R108
XM_014167213.2	C150R069
XM_014167213.2	C210R125
XM_014167213.2	C078R126
XM_014167213.2	C227R036
XM_014167217.2	C069R043
XM_014167364.2	C261R130
XM_014167429.2	C009R100
XM_014167444.2	C103R166
XM_014167515.2	C106R124
XM_014167618.2	C013R072
XM_014167710.2	C053R116
XM_014167733.2	C242R019
XM_014167737.2	C117R066
XM_014167810.2	C097R093
XM_014167917.2	C137R054
